regime,left,right,length,source,metric,mean,ci95_low,ci95_high
0p6b_full,prc,synthid_depth2,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.009196865817825655,-0.0053298237022527,0.02435871694417237
0p6b_full,prc,synthid_depth2,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,0.0005137663361258198,-0.0014055195685728666,0.002478427043610073
0p6b_full,prc,synthid_depth2,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,tpr,-0.01,-0.03,0.0
0p6b_full,prc,synthid_depth2,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.006281407035175872,-0.014648869346733666,0.002136934673366838
0p6b_full,prc,synthid_depth2,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.004206549118387912,-0.002696473551637274,0.010528967254408066
0p6b_full,prc,synthid_depth2,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.0012033571478097297,-0.003954809801745427,0.0011706434597007096
0p6b_full,prc,synthid_depth2,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,tpr,-0.21,-0.3,-0.12
0p6b_full,prc,synthid_depth10,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.006320939334637976,-0.01945621330724071,0.006813111545988237
0p6b_full,prc,synthid_depth10,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.00569049951028403,-0.005397649363369252,0.017257590597453458
0p6b_full,prc,synthid_depth10,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.0008891157052073403,-0.0030214946156770163,0.0011092791144402471
0p6b_full,prc,synthid_depth10,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,tpr,-0.01,-0.03,0.0
0p6b_full,prc,synthid_depth10,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,0.004924623115577909,-0.005779522613065311,0.015930276381909567
0p6b_full,prc,synthid_depth10,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,-0.00486146095717884,-0.013200251889168771,0.003174433249370273
0p6b_full,prc,synthid_depth10,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.0032870700922599484,-0.007060789629259226,-0.00013516446432107785
0p6b_full,prc,synthid_depth10,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,tpr,-0.21,-0.3,-0.12
0p6b_full,prc,textseal_on,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,0.0036301369863013643,-0.009511007827788662,0.014961105675146769
0p6b_full,prc,textseal_on,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.003124387855044075,-0.006643241919686584,0.015067335945151793
0p6b_full,prc,textseal_on,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.024490426582789052,-0.028629985673579415,-0.02038547669860866
0p6b_full,prc,textseal_on,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,tpr,-0.01,-0.03,0.0
0p6b_full,prc,textseal_on,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,0.0062814070351758875,-0.0028900753768844154,0.015479899497487433
0p6b_full,prc,textseal_on,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,-0.0035264483627204047,-0.011865239294710329,0.003955289672544076
0p6b_full,prc,textseal_on,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.03352659582782261,-0.04112127226534592,-0.02588450817994499
0p6b_full,prc,textseal_on,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,tpr,-0.21,-0.3,-0.12
0p6b_full,prc,gumbel_on,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,0.011027397260273972,-0.0048162915851271935,0.02496183953033268
0p6b_full,prc,gumbel_on,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,-0.0019490695396669922,-0.013771057786483833,0.011401322233104784
0p6b_full,prc,gumbel_on,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.2051603417024999,-0.23436059548678304,-0.17784897978511355
